url,googleSearchVolume,totalSearchVolume,session
chanel/bath-body/lotions,30,30,54
patriot/computing/hardware/ram,30,30,20
austin-reed/bags/travel,0,0,1
fa/appliances/fans/exhaust,0,0,48
deerma/appliances/vacuum-cleaners/handheld,0,10,88
peripera/makeup/lips/tints,880,880,15
fila/shoes/sports/football-futsal,0,0,2
autumnz/stationery,0,0,0
kdk/appliances/fans/exhaust,6600,6600,316
forever-living/medical-supplies,0,0,5
broncolor/audio-hi-fi/studio-equipment,0,0,3
prada/shoes/women,90,190,11
hisense/tv-video-dvd/uhd,10,10,305
fossil/decker/watches/chronograph,0,0,1
bruno-magli/bags,20,20,8
baju-raya/women/baju-kurung-tradisional,0,0,52
puma/bags/wallets,140,140,23
givenchy/clothing/sportswear/track-jackets,0,0,2
burberry/clothing/men/sweatshirts,0,0,1
jennifer-lopez/perfume,140,140,91
darlie/dental-care/toothpastes,1000,1000,65
seagate/camera-photo/cctv,0,0,47
givenchy/clothing/women/t-shirts,10,10,2
casio/computing/office-supplies/projectors,90,120,4
shiseido/skin-care/eyes,0,110,18
nike/clothing/hats,170,1170,96
good-virtues-co/skin-care/hand/lotions,0,0,6
charles-jourdan/watches/chronograph,0,0,3
milux/appliances/vacuum-cleaners,0,60,59
vans/shoes/men,260,310,9
ricoh/computing/printers,720,980,371
gucci/clothing/men/bow-ties,10,10,0
vitahealth/supplements,0,40,50
swiss-polo/bags/wallets,110,110,88
adata/computing/hardware/ssds,260,260,88
versace/bags/sling,110,150,39
woodland/shoes,90,90,105
adidas/shoes/sports/hiking,480,480,159
himalaya/pets-supplies/dogs,0,0,1
cosme-decorte/skin-care/face/moisturizers,0,0,3
adidas/bags/shoe,260,260,23
yamaha/computing/hardware/fans-cooling,0,0,25
innisfree/skin-care/hand/nails/accessories,0,0,1
deuter/bags/backpacks/travel,90,90,2
anime/clothing,260,570,36
amgo/nursery/bedding/playpens,0,0,9
jack-wills/clothing/women/hoodies-and-sweatshirts,0,0,4
faber/appliances/cookers/multi,0,0,38
disney/makeup,50,50,23
kate-spade-new-york/bags/handbags/tote,10,10,5
dibea/appliances/vacuum-cleaners/handheld,0,0,4
asics/gt,30,30,75
k-mom/diapering,70,70,30
dnars/skin-care/face,0,0,13
nike/air-presto,720,730,135
diesel/watches/chronograph,0,0,9
lotto/shoes/sports,50,230,43
drypers/diapering/disposable-diapers/swim,0,0,15
dolce-gabbana/clothing/women/underwear,0,0,0
sata/home-improvement/tools/drills,0,0,0
shaklee/supplements/collagen,0,0,99
dymatize-nutrition/food-supplements/protein-powders/whey,0,0,1
orico/home-improvement/electrical/adapters/universal,0,0,0
dji/camera-photo/action,320,1620,70
carlo-rino/bags/sling,480,500,75
louis-vuitton/neverfull/bags/handbags,10,20,28
lartisan-parfumeur/bath-body,0,0,5
ecosport/adventure/hiking/trekking-poles,0,0,0
us-baby/feeding/bottle/mixers,0,0,0
neoflam/kitchen-dining/cookware,70,90,63
disney/watches,90,120,72
mr-diy/shoes,40,40,25
mulberry/bags,1000,1410,130
lonsdale/shoes/kids-and-baby,0,0,2
era-maya/baju-raya/baju-kurung-tradisional,0,0,3
us-baby/feeding/bottle/nipples,0,0,0
hush-puppies/clothing/belts,50,50,89
pelican/home-improvement/flashlights,50,50,49
lowepro/camera-photo/accessories,0,70,3
gap/kids-clothing/socks,10,10,0
alexander-mcqueen/clothing/swimwear,0,0,0
philipp-plein/clothing/men/t-shirts,0,0,22
magic/appliances,10,10,3
alexander-mcqueen/clothing/men/sweaters,0,0,0
calvin-klein/clothing/underwear/boxers,110,110,43
playboy/bags/women/waist,0,0,2
adidas/nizza,880,900,122
magideal/computing/accessories/ink-cartridges,0,0,5
geneva/women,0,0,0
alexander-mcqueen/jewellery/women/rings,0,0,1
casio/baby-g/watches/straps,0,0,55
oakley/holbrook,590,600,54
marc-jacobs/perfume/eau-de-cologne,0,0,3
givenchy/clothing/jackets/bombers,10,10,0
alexander-mcqueen/shoes/women/flats,0,0,0
daiso/kitchen-dining/storage/lunch-bags,20,20,55
vitaderma/skin-care,40,40,14
miracle-shining/skin-care/face/sun-protection,0,0,0
goldlion/shoes/loafers,0,0,0
alexander-mcqueen/clothing/tops/blouse,10,10,0
avon/kitchen-dining/cookware,10,10,40
motorola/computing/office-supplies/scanners,20,40,0
gosha-rubchinskiy/clothing/men,0,0,3
alexander-mcqueen/clothing/men,0,20,0
gucci/jewellery/men,10,270,33
arctic-hunter/bags/sling,50,50,30
behringer/audio-hi-fi/subwoofers,30,30,11
kenwood/in-car-entertainment/double-din,50,50,220
munich/shoes/sports,10,180,1
guess/watches/men/analogue,0,0,6
pallas/clothing/formal-wear/blazers,0,0,0
defacto/clothing/women,0,0,34
nike/clothing/women/jackets,140,140,0
house-of-marley/audio-hi-fi/headphones/in-ear,0,0,3
sanda/watches/women/analogue,0,0,1
teenie-weenie/clothing,0,0,90
california-gold-nutrition/supplements,0,40,19
nokia/audio-hi-fi,0,40,2
jacobs/groceries,0,0,1
fidelio/clothing/pants/chino,0,0,0
brother/housekeeping/garment-care/sewing/machines,880,880,76
kent/hair-care/styling/combs,40,40,32
clothing/women/skorts,30,30,9
off-white/shoes/sneakers,260,270,4
jessica-minkoff/bags/sling,10,10,4
belvita/clothing/jackets/denim,0,0,0
metric/shoes,30,30,39
diesel/bags/backpacks,10,10,2
oren-sport/clothing/hats/caps,0,0,1
xone/makeup/lips/lipsticks,0,0,0
chipsmore/groceries/food-cupboard/cooking-ingredients,0,0,28
philips-avent/nursery/pacifiers,110,110,0
karcher/housekeeping/floor-care/brooms,0,0,0
epiphone/hobbies/musical-instruments/guitars/electric,30,30,1
versace/clothing/sunglasses,140,140,34
honda/odyssey,8100,8100,15
play-boy/clothing/formal-wear/suits,0,0,1
kilian/perfume/women,0,0,4
demeter/housekeeping/air-fresheners,0,0,0
ngk/motorcycle-accessories,0,0,76
coco-concept-store/clothing,0,0,132
